"Year","Sex","Rank","Name","Count","Data_Revision_Date"
2003,Female,14,MADISON,1454,11/07/2022
2003,Female,15,SARAH,1417,11/07/2022
2003,Female,16,KIMBERLY,1410,11/07/2022
2003,Female,17,HANNAH,1375,11/07/2022
2003,Female,18,STEPHANIE,1330,11/07/2022
2003,Female,19,VANESSA,1327,11/07/2022
2003,Female,20,ANDREA,1320,11/07/2022
2003,Female,21,BRIANNA,1295,11/07/2022
2003,Female,22,ABIGAIL,1264,11/07/2022
2003,Female,23,MARIA,1249,11/07/2022
2003,Female,24,MICHELLE,1239,11/07/2022
2003,Female,25,MIA,1226,11/07/2022
2003,Male,1,DANIEL,4017,11/07/2022
2003,Male,2,ANTHONY,3918,11/07/2022
2003,Male,3,ANDREW,3443,11/07/2022
2003,Male,4,JOSE,3363,11/07/2022
2003,Male,5,JACOB,3347,11/07/2022
2003,Male,6,DAVID,3344,11/07/2022
2003,Male,7,ANGEL,3241,11/07/2022
2003,Male,8,JOSHUA,3202,11/07/2022
2003,Male,9,MICHAEL,3087,11/07/2022
2003,Male,10,MATTHEW,2967,11/07/2022
2003,Male,11,CHRISTOPHER,2785,11/07/2022
2003,Male,12,JOSEPH,2704,11/07/2022
2003,Male,13,JONATHAN,2697,11/07/2022
2003,Male,14,RYAN,2560,11/07/2022
2003,Male,15,ALEXANDER,2365,11/07/2022
2003,Male,16,BRANDON,2361,11/07/2022
2003,Male,17,KEVIN,2265,11/07/2022
2003,Male,18,ETHAN,2228,11/07/2022
2003,Male,19,NATHAN,2113,11/07/2022
2003,Male,20,JUAN,2072,11/07/2022
2003,Male,21,LUIS,2063,11/07/2022
2003,Male,22,CHRISTIAN,2060,11/07/2022
2003,Male,23,NICHOLAS,2003,11/07/2022
2003,Male,24,GABRIEL,1967,11/07/2022
2003,Male,25,JESUS,1891,11/07/2022
2004,Female,1,EMILY,3395,11/07/2022
2004,Female,2,ASHLEY,2927,11/07/2022
2004,Female,3,SAMANTHA,2479,11/07/2022
2004,Female,4,ISABELLA,2443,11/07/2022
2004,Female,5,NATALIE,1942,11/07/2022
2004,Female,6,ALYSSA,1806,11/07/2022
2004,Female,7,EMMA,1742,11/07/2022
2004,Female,8,SOPHIA,1715,11/07/2022
2004,Female,9,JESSICA,1705,11/07/2022
2004,Female,10,JASMINE,1666,11/07/2022
2004,Female,11,ELIZABETH,1595,11/07/2022
2004,Female,12,MADISON,1575,11/07/2022
2004,Female,13,JENNIFER,1486,11/07/2022
2004,Female,14,KIMBERLY,1460,11/07/2022
2004,Female,15,ALEXIS,1437,11/07/2022
2004,Female,16,ANDREA,1376,11/07/2022
2004,Female,17,ABIGAIL,1318,11/07/2022
2004,Female,18,HANNAH,1315,11/07/2022
2004,Female,19,SARAH,1305,11/07/2022
2004,Female,20,VANESSA,1302,11/07/2022
2004,Female,21,MIA,1272,11/07/2022
2004,Female,22,STEPHANIE,1249,11/07/2022
2004,Female,23,BRIANNA,1223,11/07/2022
2004,Female,24,MICHELLE,1154,11/07/2022
2004,Female,25,OLIVIA,1149,11/07/2022
2004,Male,1,DANIEL,4162,11/07/2022
2004,Male,2,ANTHONY,3799,11/07/2022
2004,Male,3,ANDREW,3471,11/07/2022
2004,Male,4,JOSE,3391,11/07/2022
2004,Male,5,JACOB,3330,11/07/2022
2004,Male,6,JOSHUA,3292,11/07/2022
2004,Male,7,DAVID,3248,11/07/2022
2004,Male,8,ANGEL,3241,11/07/2022
2004,Male,9,MATTHEW,2855,11/07/2022
2004,Male,10,MICHAEL,2847,11/07/2022
2004,Male,11,CHRISTOPHER,2758,11/07/2022
2004,Male,12,JONATHAN,2546,11/07/2022
2004,Male,13,RYAN,2509,11/07/2022
2004,Male,14,ALEXANDER,2446,11/07/2022
2004,Male,15,JOSEPH,2429,11/07/2022
2004,Male,16,ETHAN,2365,11/07/2022
2004,Male,17,NATHAN,2305,11/07/2022
2004,Male,18,BRANDON,2207,11/07/2022
2004,Male,19,KEVIN,2136,11/07/2022
2004,Male,20,JUAN,2111,11/07/2022
2004,Male,21,CHRISTIAN,2030,11/07/2022
2004,Male,22,JESUS,2016,11/07/2022
2004,Male,23,NICHOLAS,1998,11/07/2022
2004,Male,24,DIEGO,1983,11/07/2022
2004,Male,25,LUIS,1961,11/07/2022
2005,Female,1,EMILY,3276,11/07/2022
2005,Female,2,ASHLEY,2777,11/07/2022
2005,Female,3,SAMANTHA,2489,11/07/2022
2005,Female,4,ISABELLA,2344,11/07/2022
2005,Female,5,MIA,2184,11/07/2022
2005,Female,6,NATALIE,2040,11/07/2022
2005,Female,7,SOPHIA,1885,11/07/2022
2005,Female,8,EMMA,1633,11/07/2022
2005,Female,9,ALYSSA,1617,11/07/2022
2005,Female,10,MADISON,1525,11/07/2022
2005,Female,11,JASMINE,1521,11/07/2022
2005,Female,12,ELIZABETH,1486,11/07/2022
2005,Female,13,JESSICA,1410,11/07/2022
2005,Female,14,KIMBERLY,1399,11/07/2022
2005,Female,15,ABIGAIL,1372,11/07/2022
2005,Female,16,BRIANNA,1351,11/07/2022
2005,Female,17,JENNIFER,1292,11/07/2022
2005,Female,18,AVA,1227,11/07/2022
2005,Female,19,HANNAH,1218,11/07/2022
2005,Female,20,SARAH,1212,11/07/2022
2005,Female,21,ALEXIS,1204,11/07/2022
2005,Female,22,ANDREA,1203,11/07/2022
2005,Female,23,ANGELINA,1179,11/07/2022
2005,Female,24,VANESSA,1154,11/07/2022
2005,Female,25,STEPHANIE,1153,11/07/2022
2005,Male,1,DANIEL,3902,11/07/2022
2005,Male,2,ANTHONY,3721,11/07/2022
2005,Male,3,ANGEL,3551,11/07/2022
2005,Male,4,DAVID,3253,11/07/2022
2005,Male,5,JOSHUA,3209,11/07/2022
2005,Male,6,JOSE,3203,11/07/2022
2005,Male,7,ANDREW,3139,11/07/2022
2005,Male,8,JACOB,3097,11/07/2022
2005,Male,9,MATTHEW,2850,11/07/2022
2005,Male,10,MICHAEL,2742,11/07/2022
2005,Male,11,JONATHAN,2635,11/07/2022
2005,Male,12,CHRISTOPHER,2589,11/07/2022
2005,Male,13,JOSEPH,2534,11/07/2022
2005,Male,14,ALEXANDER,2448,11/07/2022
2005,Male,15,NATHAN,2401,11/07/2022
2005,Male,16,ETHAN,2361,11/07/2022
2005,Male,17,RYAN,2331,11/07/2022
2005,Male,18,DIEGO,2307,11/07/2022
2005,Male,19,JUAN,2219,11/07/2022
2005,Male,20,KEVIN,2195,11/07/2022
2005,Male,21,BRANDON,2115,11/07/2022
2005,Male,22,CHRISTIAN,2014,11/07/2022
2005,Male,23,LUIS,2003,11/07/2022
2005,Male,24,JESUS,1968,11/07/2022
2005,Male,25,GABRIEL,1950,11/07/2022
2006,Female,1,EMILY,3088,11/07/2022
2006,Female,2,ISABELLA,2786,11/07/2022
2006,Female,3,ASHLEY,2605,11/07/2022
2006,Female,4,MIA,2440,11/07/2022
2006,Female,5,SAMANTHA,2336,11/07/2022
2006,Female,6,NATALIE,2223,11/07/2022
2006,Female,7,SOPHIA,1967,11/07/2022
2006,Female,8,EMMA,1544,11/07/2022
2006,Female,9,ABIGAIL,1477,11/07/2022
2006,Female,10,AVA,1469,11/07/2022
2006,Female,11,MADISON,1435,11/07/2022
2006,Female,12,ELIZABETH,1424,11/07/2022
2006,Female,13,ALYSSA,1398,11/07/2022
2006,Female,14,BRIANNA,1393,11/07/2022
2006,Female,14,KIMBERLY,1393,11/07/2022
2006,Female,16,JASMINE,1382,11/07/2022
2006,Female,17,ANDREA,1317,11/07/2022
2006,Female,18,JESSICA,1259,11/07/2022
2006,Female,19,ALEXA,1241,11/07/2022
2006,Female,20,OLIVIA,1209,11/07/2022
2006,Female,21,HANNAH,1205,11/07/2022
2006,Female,22,VALERIA,1203,11/07/2022
2006,Female,23,ANGELINA,1157,11/07/2022
2006,Female,24,SARAH,1154,11/07/2022
2006,Female,25,JOCELYN,1143,11/07/2022
2006,Male,1,DANIEL,3810,11/07/2022
2006,Male,2,ANTHONY,3770,11/07/2022
2006,Male,3,ANGEL,3720,11/07/2022
2006,Male,4,JACOB,3190,11/07/2022
2006,Male,5,DAVID,3135,11/07/2022
2006,Male,6,ANDREW,3120,11/07/2022
2006,Male,7,JOSE,3112,11/07/2022
2006,Male,8,JOSHUA,3009,11/07/2022
2006,Male,9,CHRISTOPHER,2869,11/07/2022
2006,Male,10,DIEGO,2748,11/07/2022
2006,Male,11,MATTHEW,2739,11/07/2022
2006,Male,12,MICHAEL,2718,11/07/2022
2006,Male,13,JONATHAN,2625,11/07/2022
2006,Male,14,ALEXANDER,2487,11/07/2022
2006,Male,15,NATHAN,2444,11/07/2022
2006,Male,16,ETHAN,2391,11/07/2022
2006,Male,17,JOSEPH,2359,11/07/2022
2006,Male,18,CHRISTIAN,2196,11/07/2022
2006,Male,19,ADRIAN,2108,11/07/2022
2006,Male,20,JUAN,2080,11/07/2022
2006,Male,21,LUIS,2077,11/07/2022
2006,Male,22,BRANDON,2068,11/07/2022
2006,Male,23,RYAN,2049,11/07/2022
2006,Male,24,KEVIN,2046,11/07/2022
2006,Male,25,JESUS,1950,11/07/2022
2007,Female,1,EMILY,2954,11/07/2022
2007,Female,2,ISABELLA,2918,11/07/2022
2007,Female,3,SOPHIA,2596,11/07/2022
2007,Female,4,ASHLEY,2517,11/07/2022
2007,Female,5,SAMANTHA,2366,11/07/2022
2007,Female,6,MIA,2060,11/07/2022
2007,Female,7,NATALIE,1908,11/07/2022
2007,Female,8,EMMA,1628,11/07/2022
2007,Female,9,ALYSSA,1556,11/07/2022
2007,Female,10,JOCELYN,1516,11/07/2022
2007,Female,11,ELIZABETH,1507,11/07/2022
2007,Female,12,AVA,1480,11/07/2022
2007,Female,13,ABIGAIL,1432,11/07/2022
2007,Female,14,KIMBERLY,1409,11/07/2022
2007,Female,15,MADISON,1349,11/07/2022
2007,Female,16,OLIVIA,1335,11/07/2022
2007,Female,17,BRIANNA,1331,11/07/2022
2007,Female,18,SOFIA,1318,11/07/2022
2007,Female,19,JASMINE,1300,11/07/2022
2007,Female,20,ANDREA,1269,11/07/2022
2007,Female,21,VANESSA,1209,11/07/2022
2007,Female,22,HANNAH,1172,11/07/2022
2007,Female,23,CHLOE,1168,11/07/2022
2007,Female,24,ALEXA,1158,11/07/2022
2007,Female,25,VICTORIA,1141,11/07/2022
2007,Male,1,DANIEL,3848,11/07/2022
2007,Male,2,ANTHONY,3773,11/07/2022
2007,Male,3,ANGEL,3539,11/07/2022
2007,Male,4,DAVID,3111,11/07/2022
2007,Male,5,JACOB,3108,11/07/2022
2007,Male,6,ANDREW,3015,11/07/2022
2007,Male,7,CHRISTOPHER,2978,11/07/2022
2007,Male,8,JOSHUA,2870,11/07/2022
2007,Male,9,JOSE,2853,11/07/2022
2007,Male,10,DIEGO,2620,11/07/2022
2007,Male,11,ALEXANDER,2599,11/07/2022
2007,Male,12,MATTHEW,2574,11/07/2022
2007,Male,13,MICHAEL,2548,11/07/2022
2007,Male,14,ETHAN,2511,11/07/2022
2007,Male,15,JONATHAN,2493,11/07/2022
2007,Male,16,NATHAN,2452,11/07/2022
2007,Male,17,JOSEPH,2292,11/07/2022
2007,Male,18,ADRIAN,2150,11/07/2022
2007,Male,19,BRANDON,2146,11/07/2022
2007,Male,20,KEVIN,2084,11/07/2022
2007,Male,21,CHRISTIAN,2059,11/07/2022
2007,Male,22,LUIS,2011,11/07/2022
2007,Male,23,RYAN,1974,11/07/2022
2007,Male,24,ISAAC,1973,11/07/2022
2007,Male,25,NOAH,1936,11/07/2022
2008,Female,1,ISABELLA,2780,11/07/2022
2008,Female,2,EMILY,2770,11/07/2022
2008,Female,3,SOPHIA,2565,11/07/2022
2008,Female,4,SAMANTHA,2255,11/07/2022
2008,Female,5,ASHLEY,2039,11/07/2022
2008,Female,6,NATALIE,1875,11/07/2022
2008,Female,7,MIA,1844,11/07/2022
2008,Female,8,EMMA,1738,11/07/2022
2008,Female,9,ABIGAIL,1570,11/07/2022
2008,Female,10,AVA,1468,11/07/2022
2008,Female,11,OLIVIA,1418,11/07/2022
2008,Female,12,MADISON,1410,11/07/2022
2008,Female,13,ELIZABETH,1409,11/07/2022
2008,Female,14,VALERIA,1374,11/07/2022
2008,Female,15,ALYSSA,1357,11/07/2022
2008,Female,16,CHLOE,1355,11/07/2022
2008,Female,17,SOFIA,1328,11/07/2022
2008,Female,18,KIMBERLY,1318,11/07/2022
2008,Female,19,BRIANNA,1230,11/07/2022
2008,Female,20,VICTORIA,1145,11/07/2022
2008,Female,21,ANDREA,1110,11/07/2022
2008,Female,22,CAMILA,1100,11/07/2022
2008,Female,23,JOCELYN,1089,11/07/2022
2008,Female,24,JASMINE,1040,11/07/2022
2008,Female,25,VANESSA,1030,11/07/2022
2008,Male,1,DANIEL,3734,11/07/2022
2008,Male,2,ANTHONY,3624,11/07/2022
2008,Male,3,ANGEL,3194,11/07/2022
2008,Male,4,JACOB,3016,11/07/2022
2008,Male,5,DAVID,2908,11/07/2022
2008,Male,6,ALEXANDER,2865,11/07/2022
2008,Male,7,ANDREW,2829,11/07/2022
2008,Male,8,JOSHUA,2745,11/07/2022
2008,Male,9,CHRISTOPHER,2607,11/07/2022
2008,Male,10,JOSE,2574,11/07/2022
2008,Male,11,MATTHEW,2535,11/07/2022
2008,Male,12,ETHAN,2518,11/07/2022
2008,Male,13,NATHAN,2516,11/07/2022
2008,Male,14,MICHAEL,2505,11/07/2022
2008,Male,15,JONATHAN,2306,11/07/2022
2008,Male,16,JOSEPH,2208,11/07/2022
2008,Male,17,DIEGO,2146,11/07/2022
2008,Male,18,ADRIAN,2140,11/07/2022
2008,Male,19,JAYDEN,2050,11/07/2022
2008,Male,20,BRANDON,2013,11/07/2022
2008,Male,21,ISAAC,1964,11/07/2022
2008,Male,22,NOAH,1933,11/07/2022
2008,Male,23,KEVIN,1915,11/07/2022
2008,Male,24,CHRISTIAN,1882,11/07/2022
2008,Male,25,RYAN,1831,11/07/2022
2009,Female,1,ISABELLA,3156,11/07/2022
2009,Female,2,SOPHIA,2653,11/07/2022
2009,Female,3,EMILY,2536,11/07/2022
2009,Female,4,MIA,2102,11/07/2022
2009,Female,5,SAMANTHA,1832,11/07/2022
2009,Female,6,NATALIE,1729,11/07/2022
2009,Female,7,EMMA,1708,11/07/2022
2009,Female,8,ASHLEY,1618,11/07/2022
2009,Female,9,ABIGAIL,1552,11/07/2022
2009,Female,10,OLIVIA,1550,11/07/2022
2009,Female,11,AVA,1338,11/07/2022
2009,Female,12,ELIZABETH,1306,11/07/2022
2009,Female,13,CHLOE,1304,11/07/2022
2009,Female,14,VALERIA,1252,11/07/2022
2009,Female,15,SOFIA,1231,11/07/2022
2009,Female,16,MADISON,1216,11/07/2022
2009,Female,17,ALYSSA,1204,11/07/2022
2009,Female,18,BRIANNA,1189,11/07/2022
2009,Female,19,KIMBERLY,1119,11/07/2022
2009,Female,20,CAMILA,1053,11/07/2022
2009,Female,21,ANDREA,1050,11/07/2022
2009,Female,22,ALEXA,1026,11/07/2022
2009,Female,23,VICTORIA,1002,11/07/2022
2009,Female,24,ALEXIS,980,11/07/2022
2009,Female,24,EVELYN,980,11/07/2022
2009,Male,1,DANIEL,3390,11/07/2022
2009,Male,2,ANTHONY,3077,11/07/2022
2009,Male,3,ANGEL,3034,11/07/2022
2009,Male,4,JACOB,2954,11/07/2022
2009,Male,5,ALEXANDER,2875,11/07/2022
2009,Male,6,ETHAN,2667,11/07/2022
2009,Male,7,DAVID,2625,11/07/2022
2009,Male,8,ANDREW,2580,11/07/2022
2009,Male,9,MATTHEW,2420,11/07/2022
2009,Male,10,JOSHUA,2407,11/07/2022
2009,Male,11,CHRISTOPHER,2386,11/07/2022
2009,Male,12,MICHAEL,2338,11/07/2022
2009,Male,13,NATHAN,2334,11/07/2022
2009,Male,14,JAYDEN,2262,11/07/2022
2009,Male,15,JOSE,2177,11/07/2022
2009,Male,16,ADRIAN,2099,11/07/2022
2009,Male,17,JOSEPH,2091,11/07/2022
2009,Male,18,JONATHAN,2057,11/07/2022
2009,Male,19,NOAH,2050,11/07/2022
2009,Male,20,ISAAC,1855,11/07/2022
2009,Male,21,AIDEN,1803,11/07/2022
2009,Male,22,CHRISTIAN,1762,11/07/2022
2009,Male,23,JULIAN,1759,11/07/2022
2009,Male,24,DIEGO,1749,11/07/2022
2009,Male,25,BRANDON,1720,11/07/2022
